*This text file currently contains adverse drug reactions (ADRs) for strong & moderate CYP3A4, 2D6, 2C19 and 2C9 substrates, 
with plan to slowly add other CYP isoform substrates' ADRs over time*


generic_drug_name,notes,cyp_type_and_cyp_strength_of_evidence,drug_class,adverse_drug_reactions,first_ref,second_ref,date_checked
venlafaxine,n/a,m_3A4_s_2D6_m_2C19,serotonin_norepinephrine_reuptake_inhibitors,"dry_mouth^^, constipation^^, headache^^, drowsiness^^, dizziness^^, tremor^^, insomnia^^, nervousness^^, anxiety^^, sweating^^, night_sweats^^, anorexia^^, malaise^^, sexual_dysfunction^^, abdominal_pain^, diarrhea^, dyspepsia^, akathisia^, amnesia^, taste_disturbance^, hypertonia^, hypesthesia^, increased_muscle_tone^, migraine^, paresthesia^, vertigo^, abnormal_coordination(pm), impaired_balance(pm), involuntary_movements(pm), NMS_like_reactions(pm), shock_like_electrical_sensations(pm), abnormal_dreams^, abnormal_thinking^, agitation^, confusion^, depression^, catatonia(pm), confusional_state(pm), panic(pm), paranoia(pm), psychotic_disorder(pm), ecchymosis^, hyperhidrosis^, pruritus^, rash^, hypercholesterolemia^, appetite_disturbance^, weight_changes^, LDH_increased(pm), accidental_injury^, fatigue^, fever^, tinnitus^, trauma^, congenital_anomalies(pm), albuminuria^, metrorrhagia^, pollakiuria^, prostatic_disorder^, prostatitis^, urinary_frequency^, urinary_retention^, vaginitis^, proteinuria(pm), chest_pain^, edema^, hot_flushes^, hypertension(dose-dependent)^, palpitation^, postural_hypotension^, tachycardia^, vasodilation^, atrial_fibrillation(pm), deep_vein_thrombophlebitis(pm), ECG_abnormalities(pm), stress_cardiomyopathy(pm), supraventricular_tachycardia(pm), Takotsubo_cardiomyopathy(pm), ventricular_extrasystole(pm), bronchitis^, cough_increased^, dyspnea^, pharyngitis^, sinusitis^, visual_disturbance^, mydriasis^, neck_pain^, trismus^, twitching^, bone_fracture(pm), CPK_increased(pm), flu_syndrome^, infection^, INR_increased(pm), prolonged_partial_thromboplastin_time(pm), prothrombin_time_increased(pm), fatty_liver(pm), GGT_elevation(pm), hepatic_reactions(pm), liver_damage(pm), liver_failure(pm), liver_necrosis(pm), renal_failure(pm)",drugs.com,nzf,210225
zolpidem,n/a,m_3A4,hypnotics,"dizziness^^, headache^^, drowsiness^^, amnesia^, ataxia^, attention_disturbance^, balance_disorder^, burning_sensation^, cognitive_disorders^, hypoesthesia^, involuntary_muscle_contractions^, lethargy^, lightheadedness^, memory_impairment^, paresthesia^, postural_dizziness^, tremor^, vertigo^, taste_disturbance(pm), memory_disturbances(pm), reduced_alertness(pm), abnormal_dreams^, agitation^, anxiety^, apathy^, confusion^, depression^, disinhibition^, disorientation^, euphoria^, hallucinations^, insomnia^, mood_swings^, nervousness^, nightmare^, psychomotor_retardation^, restlessness^, stress_symptoms^, aggravated_insomnia(pm), other_adverse_behavioral_effects(pm), perceptual_disturbances(pm), rages(pm), abdominal_discomfort^, abdominal_tenderness^, constipation^, diarrhea^, dry_mouth^, dyspepsia^, gastroenteritis^, frequent_bowel_movements^, gastroesophageal_reflux_disease^, malaise^, chest_discomfort^, contusion^, fatigue^, fever^, labyrinthitis^, neck_injury^, otitis_externa^, tinnitus^, lower_RTI^, upper_RTI^, nasopharyngitis^, pharyngitis^, rhinitis^, sinusitis^, cough(pm), dry_throat(pm), asthenopia^, diplopia^, visual_disturbance^, arthralgia^, back_pain^, muscle_cramp^, myalgia^, neck_pain^, dysuria^, menorrhagia^, UTI^, vulvovaginal_dryness^, dysmenorrhea^, rash^, urticaria^, contact_dermatitis(pm), infection^, influenza^, hypertension^, palpitations^, increased_heart_rate(pm), anorexia^, appetite_disorder^, allergy^, acute_liver_injury(pm)",drugs.com,emc,240225
escitalopram,*,m_2D6,selective_serotonin_reuptake_inhibitors,"insomnia^^, headache^^, drowsiness^^, diarrhea^^, sexual_dysfunction^^, abnormal_dreams^, agitation^, anxiety^, nervousness^, restlessness^, acute_psychosis(pm), completed_suicide(pm), delirium(pm), delusion(pm), disorientation(pm), non_accidental_overdose(pm), mood_swings(pm), nightmare(pm), psychotic_disorder(pm), withdrawal_syndrome(pm), dizziness^, lethargy^, paresthesia^, tremor^, dysarthria(pm), NMS(pm), nystagmus(pm), parkinsonism(pm), restless_legs(pm), tardive_dyskinesia(pm), palpitation^, abnormal_bleeding(pm), atrial_fibrillation(pm), cardiac_failure(pm), deep_vein_thrombosis(pm), hypertensive_crisis(pm), phlebitis(pm), postural_hypotension(pm), thrombosis(pm), ventricular_arrhythmia(pm), ventricular_tachycardia(pm), abdominal_pain^, constipation^, dry_mouth^, dyspepsia^, indigestion^, dysphagia(pm), pancreatitis(pm), stomatitis(pm), appetite_disturbance^, weight_increased^, hypoglycemia(pm), hypokalemia(pm), fatigue^, fever^, spontaneous_abortion(pm), sexual_dysfunction^, menstrual_disorder^, vaginal_bleeding^, increased_sweating^, epidermal_necrolysis(pm), erythema_multiforme(pm), Stevens_Johnson_syndrome(pm), toxic_epidermal_necrolysis(pm), hyperprolactinemia(pm), agranulocytosis(pm), aplastic_anemia(pm), decreased_prothrombin(pm), hemolytic_anemia(pm), idiopathic_thrombocytopenia_purpura(pm), increased_INR(pm), abnormal_LFT(pm), fulminant_hepatitis(pm), hepatic_failure(pm), hepatic_necrosis(pm), hepatitis(pm), increased_bilirubin(pm), hypersensitivity(pm), photosensitivity_reaction(pm), influenza_like_symptoms^, arthralgia^, back_pain^, myalgia^, neck/shoulder_pain^, rhabdomyolysis(pm), angle_closure_glaucoma(pm), diplopia(pm), acute_renal_failure(pm), pharyngitis^, rhinitis^, sinusitis^, upper_RTI^, pulmonary_embolism(pm), pulmonary_hypertension_of_the_newborn(pm)",drugs.com,nzf,250225
lidocaine,*,m_2D6_m_1A2,local_anaesthetics,"hypersensitivity_reactions",drugs.com,nzf,250225
metoclopramide,*,m_2D6,antiemetics,"drowsiness^^, acute_dystonic_reaction^^, akathisia^, dizziness^, extrapyramidal_symptoms^, headache^, parkinsonism^, diarrhea^, malaise^, fatigue^, depression^, restlessness^, hypotension^",drugs.com,nzf,260225
mexiletine,n/a,m_2D6,antiarrhythmics,"anorexia^^, constipation^^, dyspepsia^^, dizziness^^, difficulties_with_coordination^^, diarrhea^, fine_hand_tremor^, palpitation^, chest_pain^, pro_arrhythmic_effect^, angina^, new_or_worsened_congestive_heart_failure^, respiratory_abnormalities^, diplopia^, nystagmus^, blurred_vision^, rash^, confusion^, drowsiness^, ataxia^, paraesthesia^",drugs.com,nzf,260225
carisoprodol,n/a,s_2C19,skeletal_muscle_relaxants,"drowsiness^^, dizziness^, headache^, ataxia(pm), tremor(pm), seizures(pm), tachycardia(pm), postural_hypotension(pm), syncope(pm), facial_flushing(pm), agitation(pm), irritability(pm), depressive_reactions(pm), insomnia(pm), vertigo(pm), dependence(pm), withdrawal(pm), epigastric_discomfort(pm), leukopenia(pm), pancytopenia(pm)",drugs.com,Drugs@FDA,030325
citalopram,n/a,s_2C19,selective_serotonin_reuptake_inhibitors,"headache^^, drowsiness^^, dizziness^^, dry_mouth^^, insomnia^^, malaise^^, increased_sweating^^, amnesia^, extrapyramidal_symptoms^, migraine^, paresthesia^, tremor^, choreoathetosis(pm), myoclonus(pm), NMS(pm), nystagmus(pm), abdominal_pain^, constipation^, diarrhea^, dyspepsia^, increased_saliva^, taste_disturbance^, pancreatitis(pm), abnormal_dreams^, aggravated_depression^, agitation^, anxiety^, apathy^, confusion^, depression^, impaired_concentration^, nervousness^, suicide_attempt^, sleep_disorder^, delirium(pm), withdrawal_syndrome(pm), fever^, tinnitus^, spontaneous_abortion(pm), rash^, pruritus^, epidermal_necrolysis(pm), erythema_multiforme(pm), amenorrhea^, sexual_dysfunction^, dysmenorrhea^, menstrual_disorders^, polyuria^, micturition_disorders^, coughing^, pharyngitis^, rhinitis^, sinusitis^, upper_RTI^, chest_pain^, hypotension^, palpitations^, postural_hypotension^, tachycardia^, thrombosis(pm), arthralgia^, back_pain^, myalgia^, rhabdomyolysis(pm), anorexia^, weight_disturbance^, appetite_disturbance^, abnormal_ocular_accommodation^, angle-closure glaucoma(pm), increased_ALP^, cholestatic_hepatitis(pm), hepatic_necrosis(pm), influenza_like_symptoms^, decreased_prothrombin(pm), hemolytic_anemia(pm), prolactinemia(pm), acute_renal_failure(pm), allergic_reaction(pm)",drugs.com,nzf,030325
cyclophosphamide,*,m_2C19,alkylating_agents,"myelosuppression^^, alopecia^^, cystitis^^, microhematuria^^, fever^^, febrile_neutropenia^, mucosal_inflammation^, impairment_of_spermatogenesis^, malaise^, abnormal_hepatic_function^",drugs.com,nzf,040325
esomeprazole,n/a,s_2C19,proton_pump_inhibitors,"headache^^, dizziness^, drowsiness^, taste_disturbance^, vertigo^, abdominal_pain^, benign_fundic_gland_polyps^, constipation^, diarrhea^, dry_mouth^, duodenal_ulcer_hemorrhage^, epigastric pain^, gastritis^, regurgitation^, tooth_disorder^, c_diff_associated_diarrhea(pm), fundic_gland_polyps(pm), hemorrhagic_necrotic_gastritis(pm), pancreatitis(pm), cough^, RTI^, sinusitis^, tachypnea^, fever^, pruritus^, cutaneous_lupus_erythematosus(pm), systemic_lupus_erythematosus(pm), hypertension^, back_pain^, bone_fracture(pm), increased_serum_gastrin^, viral_infection^, ALT_increased^, irreversible_visual_impairment(pm), loss_of_vision(pm), acute_interstitial_nephritis(pm), impaired_renal_function(pm), increased_creatinine(pm), nephrosis(pm)",drugs.com,Drugs@FDA,040325
labetalol,n/a,m_2C19,beta_blockers,"dizziness^^, edema^, postural_hypotension^, dyspepsia^, transient_elevations_of_LFT^, headache^, taste_disturbance^, vertigo^, paresthesia^, scalp_tingling^, vision_abnormality^, IFIS_during_cataract_surgery(pm), nasal_congestion^, dyspnea^, fatigue^",drugs.com,nzf,050325
mavacamten,n/a,s_2C19,cardiovascular_agents,"dizziness^^, headache^^, nasopharyngitis^^, dyspnea^^, reduced_LVEF^, atrial_fibrillation^, palpitations^, angina_pectoris^, heart_failure^, systolic_dysfunction^, diarrhea^, gastroesophageal_reflux_disease^, back_pain^, arthralgia^, syncope^, fatigue^, upper_RTI^, cough^",drugs.com,Drugs@FDA,050325
r-mephobarbital,*,s_2C19,antiepileptics,"drowsiness^",drugs.com,data_sheet,050325
celecoxib,n/a,m_2C9,COX-2_inhibitors,"abdominal_pain^, diarrhea^, dyspepsia^, peripheral_edema^, vasculitis(pm), dizziness^, headache^, cerebral_hemorrhage(pm), ageusia(pm), anosmia(pm), rash^, erythema_multiforme(pm), dermatitis_exfoliative(pm), Stevens_Johnson_syndrome(pm), toxic_epidermal_necrolysis(pm), DRESS(pm), AGEP(pm), dermatitis_bullous(pm), agranulocytosis(pm), aplastic_anemia(pm), pancytopenia(pm), leukopenia(pm), borderline_AST_or_ALT_elevations^, hepatitis(pm), acute_liver_failure(pm), jaundice(pm), hepatic_necrosis(pm), cholestasis(pm), cholestatic_hepatitis(pm), liver_transplant(pm), increased_hepatic_enzymes(pm), pharyngitis^, rhinitis^, sinusitis^, upper_RTI^, pneumonitis(pm), tubulointerstitial_nephritis(pm), nephrotic_syndrome(pm), glomerulonephritis_minimal_lesion(pm), insomnia^, hallucination(pm), conjunctivitis(pm), sepsis(pm), anaphylactic_shock(pm), anaphylactic_reaction(pm), angioedema(pm), hypoglycemia(pm), hyponatremia(pm), impaired_female_fertility(pm), UTI^",drugs.com,nzf,060325
flurbiprofen,*,m_2C9,NSAIDs,"abdominal_pain^, constipation^, diarrhea^, dyspepsia^, GI_bleeding^, headache^, reflexes_increased^, tremor^, amnesia^, drowsiness^, edema^, malaise^, tinnitus^, rhinitis^, increased_hepatic_enzymes^, rash^, vision_changes^, nervousness^, anxiety^, insomnia^, depression^, UTI^, weight_changes^, angina_pectoris(pm), arrhythmias(pm), pulmonary_infarct(pm), pulmonary_embolism(pm), jaundice(pm), colitis(pm), small_intestine_inflammation(pm), exacerbation_of_inflammatory_bowel_disease(pm), cholecystitis(pm), interstitial_nephritis(pm)",drugs.com,Drugs@FDA,070325
glimepiride,*,m_2C9,sulfonylureas,"hypoglycemia^^, hyponatremia(pm), SIADH(pm), hemolytic_anemia(without_G6PD_deficiency,pm), thrombocytopenia_purpura(pm), anaphylaxis(pm), angioedema(pm), Stevens_Johnson_syndrome(pm), dyspnea(pm), headache^, dizziness^, elevated_ALT^, hepatitis(pm), hepatic_porphyria_reactions(pm), disulfiram_like_reactions(pm), influenza_syndrome^, malaise^",drugs.com,Drugs@FDA,070325
glyburide,*,m_2C9,sulfonylureas,"hypoglycemia(neonates)^^, transitory_diarrhea(neonates)^^, abdominal_pain(neonates)^^, dyspepsia(neonates)^^, transient_increased_transaminases(neonates)^^, epigastric_fullness^, abdominal_pain^, anorexia^, dyspepsia^, diarrhea^, allergic_skin_reactions^, hemolytic_anemia(pm)",drugs.com,nzf,090325
meloxicam,n/a,s_2C9,NSAIDs,"dyspepsia^^, abdominal_pain^^, constipation^^, diarrhea^^, gastroesophageal_reflux_disease^, upper_abdominal_pain^, hypertension^, dizziness^, headache^, carpel_tunnel_syndrome^, pharyngitis^, upper_RTI^, coughing^, nasopharyngitis^, bronchitis^, sinusitis^, laryngitis^, pleuritic_pain^, dyspnea^, rhinitis^, edema^, fall^, influenza_like_symptoms^, peripheral_edema^, fatigue^, ear_disorder^, vertigo^, meningitis(pm), anemia^, rash^, pruritus^, hyperhidrosis^, purpura^, erythema_multiforme(pm), hypersensitivity_reactions^, anaphylactoid_reactions(pm), female_infertility(pm), arthralgia^, joint_swelling^, back_pain^, osteoarthritis^, pain_in_extremities^, arthritis^, bursitis^, muscle_spasms^, myalgia^, rheumatoid_arthritis^, UTI^, hematuria^, insomnia^, dehydration^, appetite_increased^",drugs.com,nzf,090325
siponimod,n/a,m_2C9,selective_immunosuppressants,"infections^^, transaminase_elevations^^, bronchitis^^, sinusitis^^, upper_RTI^^, falls^^, headache^^, hypertension^^, fungal_skin_infection^^, lymphopenia^, pain_in_extremities^, macular_edema^, peripheral_edema^,  pulmonary_embolism^, pulmonary_function_test_decreased^, malaise^, dizziness^, seizures^, tremor^, first_and_second_degree_AV_block^, bradycardia^, ischemic_stroke^, myocardial_infarction^, diarrhea^, progressive_multifocal_leukoencephalopathy(pm)",drugs.com,Drugs@FDA,100325
phenytoin,*,m_2C9,antiepileptics,"SCAR^^, pruritus^^, nystagmus^^, dizziness^^, drowsiness^^, ataxia^^, hypotension^, vasodilation^, tachycardia^, sweating^, dry_mouth^, constipation^, anaphylactoid_reactions(pm), back_pain^, muscle_weakness^,  incoordination^, paresthesia^, extrapyramidal_symptoms^, tremor^, vertigo^, brain_edema^, tinnitus^, taste_disturbance^, loss_of_taste^, reflex_disturbance^, migraine^, slurred_speech^, dysarthria^, intracranial_hypertension^, hyperesthesia^, hyporeflexia^, diplopia^, amblyopia^, blurred_vision^, visual_impairment^, malaise^, deafness^, fever^, facial_edema^, hyperacusis^, parosmia^, ear_pain^, pelvic_pain^, pneumonia^, respiratory_arrest(pm), agitation^, nervousness^, depression^",drugs.com,nzf,110325
piroxicam,n/a,s_2C9,NSAIDs,"increased_ALT^^, increased_AST^^, congestive_heart_failure(pm), hypertension(pm), tachycardia(pm), syncope(pm), arrhythmia(pm), exacerbation_of_angina(pm), hypotension(pm), myocardial_infarction(pm), vasculitis(pm), pruritus^, rash^, alopecia(pm), bruising(pm), desquamation(pm), erythema(pm), photosensitivity(pm), angioedema(pm), toxic_epidermal_necrolysis(pm), erythema_multiforme(pm), exfoliative_dermatitis(pm), onycholysis(pm), Stevens_Johnson_syndrome(pm), urticaria(pm), vesiculobullous_reaction(pm), fixed_drug_eruption(pm), abdominal_pain^, constipation^, diarrhea^, epigastric_distress^, peptic_ulcer^, stomatitis^, indigestion^, dyspepsia(pm), GI_bleeding(pm), GI_perforation(pm), GI_ulceration(pm), dry_mouth(pm), esophagitis(pm), gastritis(pm), glossitis(pm), hematemesis(pm), melena(pm), rectal_bleeding(pm), pancreatitis(pm), fatal_GI_events(pm), cystitis(pm), dysuria(pm), hematuria(pm), oliguria(pm), polyuria(pm), proteinuria(pm), decreased_female_fertility(pm), anemia^, eosinophilia^, leukopenia^, thrombocytopenia^, decreased_hemoglobin^, decreased_hematocrit^, increased_bleeding_time(pm), eosinophilia(pm), leukopenia(pm), thrombocytopenia(pm), agranulocytosis(pm), hemolytic_anemia(pm), aplastic_anemia(pm), lymphadenopathy(pm), pancytopenia(pm), hepatitis(pm), jaundice(pm), liver_failure(pm), anaphylactic_reactions(pm), serum_sickness(pm), positive_antinuclear_antibodies(pm), anorexia^, hyperglycemia^, appetite_disturbance(pm), fluid_retention(pm), hypoglycemia(pm), hyperkalemia(pm), dizziness^, headache^, drowsiness^, vertigo^, tinnitus^, paresthesia(pm), tremors(pm), akathisia(pm), seizures(pm), coma(pm), meningitis(pm), aseptic_meningitis(pm), conjunctivitis(pm), edema^, weight_gain^, fever(pm), infection(pm), sepsis(pm), influenza_like_syndrome(pm), pain(pm), weight_changes(pm), malaise(pm), hearing_impairment(pm), anxiety(pm), confusion(pm), depression(pm), dream_abnormalities(pm), insomnia(pm), nervousness(pm), hallucinations(pm), mood alterations(pm), abnormal_renal_function(pm), interstitial_nephritis(pm), nephrotic_syndrome(pm), renal_failure(pm), glomerulonephritis(pm), epistaxis(pm), asthma(pm), dyspnea(pm), respiratory_depression(pm), pneumonia(pm)",drugs.com,Drugs@FDA,110325
ruxolitinib,n/a,m_2C9,tyrosine_kinase_inhibitor,"UTI^^, anemia^^, thrombocytopenia^^, neutropenia^^, hypercholesterolemia^^, weight_gain^^, dizziness^^, headache^^, bruising^^, bleeding^^, increased_ALT^^, increased_AST^^, GI_bleeding^, tuberculosis^, intracranial_bleeding^, herpes_zoster^",drugs.com,nzf,120325
s-warfarin,*,m_2C9,anticoagulants,"hemorrhage^^",drugs.com,nzf,120325
alosetron,n/a,s_1A2,serotonin_receptor_antagonists,"constipation^^, abdominal_distention^, abdominal_pain^, diarrhea^, GI_pain^, hemorrhoid_hemorrhage^, hemorrhoids^, gastroesophageal_reflux_disease^, regurgitation^, viral_gastroenteritis^, impaction(pm), perforation(pm), small_bowel_mesenteric_ischemia(pm), ulceration(pm), cough^, nasopharyngitis^, sinusitis^, upper_RTI^, UTI^, ALT_increased, headache(pm), rash(pm)",drugs.com,Drugs@FDA,130325
caffeine,*,s_1A2,CNS_stimulants,"constipation^^, necrotizing_enterocolitis^, gastritis^, GI_hemorrhage^, gastroesophageal_reflux_disease^, hemorrhage^, tachycardia^, rash^, disseminated_intravascular_coagulation^, anemia^, acidosis^, hyperglycemia^, cerebral_hemorrhage^, dyspnea^, lung_edema^, kidney_failure^",drugs.com,Drugs@FDA,130325
clozapine,*,s_1A2,antipsychotics,"hypersalivation^^, constipation^^, dyspepsia^^, drowsiness^^, dizziness^^, vertigo^^, headache^^, weight_gain^^, tachycardia^^, hypotension^^, hypertension^^, insomnia^^, fever^^, abdominal_discomfort^, diarrhea^, dry_mouth^, intestinal_ischemia(pm), megacolon(pm), salivary_gland_swelling(pm), akathisia^, akinesia^, seizures^, dysarthria^, extrapyramidal_symptoms^, hypokinesia^, syncope^, tremor^, abnormal_EEG(pm), cholinergic_syndrome(pm), clozapine_induced_seizures(pm), motor_instability(pm), myasthenic_syndrome(pm), myoclonus(pm), paresthesia(pm), pleurothotonus(pm), possible_cataplexy(pm), post_discontinuation_cholinergic_rebound_adverse_reactions(pm), sensory_instability(pm), status_epilepticus(pm), anorexia^, hypernatremia(pm), hyperuricemia(pm), obesity(pm), weight_loss(pm), ECG_changes^, postural_hypotension^, atrial_fibrillation(pm), deep_vein_thrombosis(pm), mitral_valve_incompetence(pm), palpitations(pm), agitation^, confusion^, restlessness^, benign_hyperthermia^, fatigue^, temperature_regulation_disturbance^, falls(pm), polyserositis(pm), sepsis(pm), eosinophilia^, leukocytosis^, leukopenia^, neutropenia^, elevated_hematocrit(pm), elevated_hemoglobin(pm), granulocytopenia(pm), increased_erythrocyte_sedimentation_rate(pm), mild_leukopenia(pm), moderate_leukopenia(pm), severe_leukopenia(pm), thrombocytosis(pm), urinary_incontinence^, urinary_retention^, nocturnal_enuresis(pm), sexual_dysfunction(pm), rash^, erythema_multiforme(pm), photosensitivity(pm), skin_pigmentation_disorder(pm), Stevens_Johnson_syndrome(pm), visual_disturbances^, narrow_angle_glaucoma(pm), periorbital_edema(pm), increased_liver_enzymes^, cholestatic_injury(pm), hepatic_cirrhosis(pm), hepatic_fibrosis(pm), hepatic_injury(pm), hepatic_necrosis(pm), hepatic_steatosis(pm), hepatotoxicity(pm), jaundice(pm), liver_failure(pm), liver_transplant(pm), rigidity^, rhabdomyolysis(pm), pleural_effusion(pm), sleep_apnea(pm), renal_failure(pm), hypersensitivity_reactions(pm), severe_symptomatic_paroxysmal_hypertension(pm)",drugs.com,nzf,170325
duloxetine,n/a,s_1A2,serotonin_norepinephrine_reuptake_inhibitors,"constipation^^, dry_mouth^^, abdominal_pain^^, diarrhea^^, drowsiness^^, headache^^, dizziness^^, weight_loss^^, decreased_appetite^^, nasopharyngitis^^, insomnia^^, fatigue^^, dyspepsia^, oral_paresthesia^, viral_gastroenteritis^, pancreatitis(pm), unspecified_colitis(pm), taste_disturbance^, facial_hypoesthesia^, hypoesthesia^, paresthesia^, psychomotor_agitation^, tremor^, vertigo^, intracerebral_bleeding(pm), anorexia^, weight_gain^, cough^, oropharyngeal_pain^, pharyngolaryngeal_pain^, upper_RTI^, abnormal_dreams^, agitation^, anxiety^, sexual_dysfunction^, restlessness^, sleep_disorder^, falls^, fever^, rigors^, tinnitus^, polyuria^, muscle_cramp^, musculoskeletal_pain^, myalgia^, neck_pain^, rhabdomyolysis(pm), hypertension^, flushing^, palpitations^, cardiac_events(pm), ventricular_arrhythmias(pm), hyperhidrosis^, pruritus^, rash^, blurred_vision^, abnormal_bleeding_events(pm), blood_dyscrasias(pm), renal_dysfunction(pm)",drugs.com,Drugs@FDA,170325
fluvoxamine,n/a,m_1A2,selective_serotonin_reuptake_inhibitors,"diarrhea^^, dry_mouth^^, constipation^^, dyspepsia^^, headache^^, drowsiness^^, malaise^^, dizziness^^, anorexia^^, pain^^, insomnia^^, nervousness^^, sexual_dysfunction^^, abdominal_pain^, abscess^, dysphagia^, gingivitis^, tooth_disorder^, gastroesophageal_reflux_disease(pm), glossodynia(pm), ileus(pm), pancreatitis(pm), amnesia^, CNS_stimulation^, hyperkinesia^, hypokinesia^, hypertonia^, myoclonus^, paresthesia^, syncope^, tremor^, dysarthria(pm), gait_disturbance(pm), fatigue(pm), loss_of_consciousness(pm), neonatal_sedation(pm), parkinsonism(pm), abnormal_dreams^, agitation^, anxiety^, apathy^, depression^, manic_reaction^, neuroses^, psychotic_reaction^, activation_syndrome(pm), anger(pm), bruxism(pm), homicidal_ideation(pm), impulsive_behavior(pm), self_injurious_behavior(pm), decreased_appetite^, weight_disturbance^, menorrhagia^, polyuria^, urinary_retention^, UTI^, fall(pm), fever(pm), chest_pain^, edema^, flushing^, hypertension^, hypotension^, palpitations^, tachycardia^, vasodilation^, cardiac_arrest(pm), cardiorespiratory_arrest(pm), QT_prolongation(pm), shock(pm), torsade_de_pointes(pm), vasculitis(pm), ventricular_arrhythmia(pm), ventricular_tachycardia(pm), bronchitis^, cough^, dyspnea^, epistaxis^, laryngitis^, pharyngitis^, sinusitis^, upper_RTI^, interstitial_lung_disease(pm), hyperhidrosis^, bullous_eruption(pm), Henoch_Schonlein_purpura(pm), Stevens_Johnson_syndrome(pm), toxic_epidermal_necrolysis(pm), myalgia^, twitching^, muscular_weakness(pm), rhabdomyolysis(pm), amblyopia^, blurred_vision^, increased_hepatic_enzymes^, hepatitis(pm), viral_infections^, agranulocytosis(pm), aplastic_anemia(pm), leukopenia(pm), acute_renal_failure(pm), renal_impairment(pm), anaphylactic_reaction(pm), angioedema(pm)",drugs.com,Drugs@FDA,180325
haloperidol,n/a,m_1A2,antipsychotics,"extrapyramidal_symptoms^^, hyperkinesia^^, headache^^, insomnia^^, agitation^^, tardive_dyskinesia^, dystonia^, dyskinesia^, akathisia^, bradykinesia^, hypertonia^, drowsiness^, masked_facies^, tremor^, dizziness^, parkinsonism^, opisthotonos(pm), depression^, psychotic_disorder^, constipation^, dry_mouth^, hypersalivation^, urinary_retention^, sexual_dysfunction^, postural_hypotension^, hypotension^, ventricular_arrhythmia(pm), cardiac_arrest(pm), hypertension(pm), weight_disturbance^, hyperammonemia(pm), oculogyric_crisis(pm), visual_disturbance(pm), rash(pm), muscle_rigidity^, rhabdomyolysis(pm), hyperthermia^, increased_hepatic_enzymes^",drugs.com,nzf,190325
melatonin,*,s_1A2,hypnotics,"headache^, sedation^",emc,nzf,190325
mexiletine,n/a,m_1A2,antiarrhythmics,"anorexia^^, constipation^^, dyspepsia^^, hand_tremor^^, dizziness^^, difficulties_with_coordination^^, pro_arrhythmic_effect^^, palpitation^, chest_pain^, angina^, congestive_heart_failure^, respiratory_abnormalities^, diplopia^, nystagmus^, blurred_vision^, rash^, diarrhea^",drugs.com,nzf,190325
olanzapine,n/a,m_1A2,antipsychotics,"drowsiness^^, akathisia^^, tremor^^, parkinsonism^^, dizziness^^, headache^^, extrapyramidal_symptoms^^, weight_gain^^, hypertriglyceridemia^^, hypercholesterolemia^^, increased_appetite^^, hyperglycemia^^, dry_mouth^^, constipation^^, dyspepsia^^, decreased_bilirubin^^, increased_ALT^^, increased_AST^^, increased_prolactin^^, fatigue^^, depression^^, insomnia^^, abnormal_gait^, amnesia^, articulation_impairment^, dyskinesia^, dystonia^, hypertonia^, akathisia^, incoordination^, transient_anticholinergic_effects^, paresthesia^, speech_disorder^, diabetic_coma(pm), NMS(pm), seizures(pm), hypersomnia^, chest_pain^, edema^, hypertension^, peripheral_edema^, postural_hypotension^, tachycardia^, cardiac_arrest(pm), deep_vein_thrombosis(pm), torsade_de_pointes(pm), venous_thromboembolism(pm), ventricular_arrhythmia(pm), bradycardia^, hypotension^, increased_uric_acid^, increased_ALP^, increased_GGT^, diabetic_ketoacidosis(pm), pre_existing_diabetes_exacerbation(pm), hypertriglyceridemia(pm), hypercholesterolemia(pm), abdominal_pain^, diarrhea^, hypersalivation^, pancreatitis(pm), tooth_infection^, jaundice(pm), liver_injury(pm), increased_bilirubin(pm), dyspnea^, increased_cough^, nasopharyngitis^, pharyngitis^, pharyngolaryngeal_pain^, upper_RTI^, rhinitis^, sinusitis^, pneumonia^, pulmonary_embolism(pm), eosinophilia^, leukopenia^, neutropenia^, thrombocytopenia(pm), amblyopia^, abnormal_vision^, fever^, pain_in_extremities^, sudden_unexplained_death(pm), ear_pain^, allergic_reaction(pm), anaphylactoid_reaction(pm), angioedema(pm), dysmenorrhea^, sexual_dysfunction^, glucosuria^, urinary_incontinence^, UTI^, vaginitis^, priapism(pm), urinary_hesitation(pm), urinary_retention(pm), arthralgia^, back_pain^, increased_CPK^, joint_pain^, musculoskeletal_stiffness^, rhabdomyolysis(pm), muscle_spasms^, rash^, alopecia(pm), DRESS(pm), pruritus(pm), rash(pm), urticaria(pm), apathy^, confusion^, euphoria^, personality_disorder^, restlessness^, discontinuation_reaction(pm), anxiety(pm), insomnia(pm), abnormal_dreams^, abnormal_thinking^, auditory_hallucinations^",drugs.com,nzf,200325
